time,0_rod(strut).X,0_rod(strut).Y,0_rod(strut).Z,0_rod(strut).Euler1,0_rod(strut).Euler2,0_rod(strut).Euler3,0_rod(strut).mass,1_rod(strut).X,1_rod(strut).Y,1_rod(strut).Z,1_rod(strut).Euler1,1_rod(strut).Euler2,1_rod(strut).Euler3,1_rod(strut).mass,2_rod(strut).X,2_rod(strut).Y,2_rod(strut).Z,2_rod(strut).Euler1,2_rod(strut).Euler2,2_rod(strut).Euler3,2_rod(strut).mass,3_rod(strut).X,3_rod(strut).Y,3_rod(strut).Z,3_rod(strut).Euler1,3_rod(strut).Euler2,3_rod(strut).Euler3,3_rod(strut).mass,4_rod(strut).X,4_rod(strut).Y,4_rod(strut).Z,4_rod(strut).Euler1,4_rod(strut).Euler2,4_rod(strut).Euler3,4_rod(strut).mass,5_rod(strut).X,5_rod(strut).Y,5_rod(strut).Z,5_rod(strut).Euler1,5_rod(strut).Euler2,5_rod(strut).Euler3,5_rod(strut).mass,6_rod(payload_bars compound_JkLD2c).X,6_rod(payload_bars compound_JkLD2c).Y,6_rod(payload_bars compound_JkLD2c).Z,6_rod(payload_bars compound_JkLD2c).Euler1,6_rod(payload_bars compound_JkLD2c).Euler2,6_rod(payload_bars compound_JkLD2c).Euler3,6_rod(payload_bars compound_JkLD2c).mass,7_rod(payload_bars compound_JkLD2c).X,7_rod(payload_bars compound_JkLD2c).Y,7_rod(payload_bars compound_JkLD2c).Z,7_rod(payload_bars compound_JkLD2c).Euler1,7_rod(payload_bars compound_JkLD2c).Euler2,7_rod(payload_bars compound_JkLD2c).Euler3,7_rod(payload_bars compound_JkLD2c).mass,8_rod(payload_bars compound_JkLD2c).X,8_rod(payload_bars compound_JkLD2c).Y,8_rod(payload_bars compound_JkLD2c).Z,8_rod(payload_bars compound_JkLD2c).Euler1,8_rod(payload_bars compound_JkLD2c).Euler2,8_rod(payload_bars compound_JkLD2c).Euler3,8_rod(payload_bars compound_JkLD2c).mass,9_rod(payload_bars compound_JkLD2c).X,9_rod(payload_bars compound_JkLD2c).Y,9_rod(payload_bars compound_JkLD2c).Z,9_rod(payload_bars compound_JkLD2c).Euler1,9_rod(payload_bars compound_JkLD2c).Euler2,9_rod(payload_bars compound_JkLD2c).Euler3,9_rod(payload_bars compound_JkLD2c).mass,10_rod(payload_bars compound_JkLD2c).X,10_rod(payload_bars compound_JkLD2c).Y,10_rod(payload_bars compound_JkLD2c).Z,10_rod(payload_bars compound_JkLD2c).Euler1,10_rod(payload_bars compound_JkLD2c).Euler2,10_rod(payload_bars compound_JkLD2c).Euler3,10_rod(payload_bars compound_JkLD2c).mass,
0.0101,-4.42978,99.4152,-0.555772,0.000318677,0.000356033,-2.35614,0.199491,3.38797,99.3806,-0.591156,-0.000136632,1.00819e-05,-2.35623,0.199491,0.46905,98.6223,-0.8114,-0.000141408,7.18507e-05,-0.785343,0.199491,0.846641,101.008,1.97738,0.000266855,-0.000339285,-0.785515,0.199491,0.774052,99.0289,1.88727,-1.57641,-0.00498223,-0.00585414,0.199645,-0.309111,101.684,-1.11564,-1.5707,-0.000775188,-0.000142567,0.199491,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,
0.0202,-4.42772,99.3998,-0.55562,0.00121693,0.00146342,-2.35598,0.199491,3.38683,99.3664,-0.592137,-0.000437928,-0.000151345,-2.35624,0.199491,0.468928,98.6079,-0.81104,-0.000657446,0.000352264,-0.78501,0.199491,0.846382,100.994,1.97705,0.000776994,-0.00113097,-0.786096,0.199491,0.772387,99.0134,1.88711,-1.5763,-0.00307147,-0.00593448,0.199645,-0.307985,101.668,-1.11468,-1.57067,-0.00265213,-0.000239292,0.199491,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,
0.0303,-4.42427,99.3744,-0.555612,0.002385,0.00314642,-2.35559,0.199491,3.38539,99.3424,-0.592925,-0.00074283,-0.000329246,-2.35635,0.199491,0.468372,98.5835,-0.810293,-0.0011978,0.000669619,-0.784701,0.199491,0.845977,100.97,1.9759,0.0013617,-0.00203509,-0.786744,0.199491,0.77045,98.9879,1.88697,-1.57612,-0.00105101,-0.00594482,0.199645,-0.307094,101.642,-1.11337,-1.57061,-0.00459257,-0.000446788,0.199491,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,
0.0404,-4.4203,99.3387,-0.555329,0.00331983,0.00487979,-2.35507,0.199491,3.38334,99.3085,-0.593695,-0.00102049,-0.000617057,-2.35652,0.199491,0.4681,98.5491,-0.809374,-0.00179929,0.000989153,-0.784423,0.199491,0.845609,100.935,1.97417,0.00173027,-0.00284166,-0.787396,0.199491,0.767659,98.9525,1.88665,-1.57577,7.11371e-05,-0.00602384,0.199645,-0.30558,101.607,-1.11175,-1.57058,-0.00572542,-0.000671969,0.199491,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,
0.0505,-4.41592,99.2931,-0.555335,0.00382681,0.00634442,-2.35443,0.199491,3.38102,99.2648,-0.594641,-0.0014524,-0.00103126,-2.35671,0.199491,0.467778,98.5049,-0.808091,-0.00225624,0.00117545,-0.784075,0.199491,0.845163,100.89,1.97209,0.00183621,-0.00341429,-0.788275,0.199491,0.764805,98.907,1.88625,-1.57538,8.78939e-05,-0.00605933,0.199645,-0.304022,101.56,-1.10959,-1.57053,-0.0055681,-0.000936134,0.199491,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,
0.0606,-4.41104,99.2374,-0.555549,0.00376542,0.00734087,-2.35369,0.199491,3.37829,99.2112,-0.595642,-0.00199689,-0.00145843,-2.35694,0.199491,0.46749,98.4509,-0.806372,-0.00254396,0.00119864,-0.783698,0.199491,0.844781,100.836,1.96989,0.0017274,-0.00379212,-0.78923,0.199491,0.7618,98.8514,1.88568,-1.57493,-0.000841157,-0.00610658,0.199645,-0.302489,101.504,-1.10733,-1.57052,-0.00448073,-0.00119954,0.199491,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,
0.0707,-4.40583,99.1715,-0.555577,0.00312883,0.00778767,-2.35293,0.199491,3.3753,99.1477,-0.596616,-0.00254277,-0.00188125,-2.35719,0.199491,0.467157,98.387,-0.804632,-0.00272933,0.00105209,-0.783327,0.199491,0.844366,100.771,1.96754,0.00142263,-0.00402855,-0.790152,0.199491,0.75845,98.7858,1.88493,-1.57445,-0.00223855,-0.00617037,0.199645,-0.300608,101.437,-1.10497,-1.57048,-0.00308014,-0.00149911,0.199491,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,
0.0808,-4.40011,99.0958,-0.555379,0.00220889,0.00782757,-2.3523,0.199491,3.37239,99.0742,-0.597823,-0.0031406,-0.00241295,-2.35738,0.199491,0.46667,98.3132,-0.803173,-0.00282262,0.000782817,-0.782892,0.199491,0.843773,100.696,1.96508,0.000990624,-0.00417001,-0.791138,0.199491,0.754898,98.7103,1.88454,-1.57404,-0.00365922,-0.0062558,0.199645,-0.298786,101.361,-1.10256,-1.57042,-0.00172181,-0.00179641,0.199491,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,
0.0909,-4.39444,99.01,-0.555256,0.0012683,0.00783272,-2.35166,0.199491,3.36935,98.9908,-0.599054,-0.00375977,-0.0029663,-2.35757,0.199491,0.46623,98.2293,-0.801726,-0.00292441,0.000512711,-0.782427,0.199491,0.843292,100.611,1.96266,0.000580885,-0.00430663,-0.792185,0.199491,0.751348,98.6248,1.88415,-1.5736,-0.00507508,-0.0063614,0.199645,-0.296941,101.274,-1.10009,-1.57038,-0.000419149,-0.00207148,0.199491,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,
0.101,-4.38877,98.9143,-0.555135,0.000327772,0.00783869,-2.35103,0.199491,3.3663,98.8974,-0.600285,-0.00438113,-0.00351832,-2.35775,0.199491,0.465791,98.1353,-0.800269,-0.0030265,0.000243991,-0.78196,0.199491,0.842814,100.516,1.96024,0.000171611,-0.00444453,-0.793232,0.199491,0.747798,98.5292,1.88377,-1.57316,-0.006491,-0.00646687,0.199645,-0.295091,101.178,-1.09763,-1.57035,0.000886953,-0.00234603,0.199491,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,
