time,0_rod(payload_bars compound_a8vXJX).X,0_rod(payload_bars compound_a8vXJX).Y,0_rod(payload_bars compound_a8vXJX).Z,0_rod(payload_bars compound_a8vXJX).Euler1,0_rod(payload_bars compound_a8vXJX).Euler2,0_rod(payload_bars compound_a8vXJX).Euler3,0_rod(payload_bars compound_a8vXJX).mass,1_rod(payload_bars compound_a8vXJX).X,1_rod(payload_bars compound_a8vXJX).Y,1_rod(payload_bars compound_a8vXJX).Z,1_rod(payload_bars compound_a8vXJX).Euler1,1_rod(payload_bars compound_a8vXJX).Euler2,1_rod(payload_bars compound_a8vXJX).Euler3,1_rod(payload_bars compound_a8vXJX).mass,2_rod(payload_bars compound_a8vXJX).X,2_rod(payload_bars compound_a8vXJX).Y,2_rod(payload_bars compound_a8vXJX).Z,2_rod(payload_bars compound_a8vXJX).Euler1,2_rod(payload_bars compound_a8vXJX).Euler2,2_rod(payload_bars compound_a8vXJX).Euler3,2_rod(payload_bars compound_a8vXJX).mass,3_rod(payload_bars compound_a8vXJX).X,3_rod(payload_bars compound_a8vXJX).Y,3_rod(payload_bars compound_a8vXJX).Z,3_rod(payload_bars compound_a8vXJX).Euler1,3_rod(payload_bars compound_a8vXJX).Euler2,3_rod(payload_bars compound_a8vXJX).Euler3,3_rod(payload_bars compound_a8vXJX).mass,4_rod(sense_bar compound_a8vXJX).X,4_rod(sense_bar compound_a8vXJX).Y,4_rod(sense_bar compound_a8vXJX).Z,4_rod(sense_bar compound_a8vXJX).Euler1,4_rod(sense_bar compound_a8vXJX).Euler2,4_rod(sense_bar compound_a8vXJX).Euler3,4_rod(sense_bar compound_a8vXJX).mass,5_rod(strut).X,5_rod(strut).Y,5_rod(strut).Z,5_rod(strut).Euler1,5_rod(strut).Euler2,5_rod(strut).Euler3,5_rod(strut).mass,6_rod(strut).X,6_rod(strut).Y,6_rod(strut).Z,6_rod(strut).Euler1,6_rod(strut).Euler2,6_rod(strut).Euler3,6_rod(strut).mass,7_rod(strut).X,7_rod(strut).Y,7_rod(strut).Z,7_rod(strut).Euler1,7_rod(strut).Euler2,7_rod(strut).Euler3,7_rod(strut).mass,8_rod(strut).X,8_rod(strut).Y,8_rod(strut).Z,8_rod(strut).Euler1,8_rod(strut).Euler2,8_rod(strut).Euler3,8_rod(strut).mass,9_rod(strut).X,9_rod(strut).Y,9_rod(strut).Z,9_rod(strut).Euler1,9_rod(strut).Euler2,9_rod(strut).Euler3,9_rod(strut).mass,10_rod(strut).X,10_rod(strut).Y,10_rod(strut).Z,10_rod(strut).Euler1,10_rod(strut).Euler2,10_rod(strut).Euler3,10_rod(strut).mass,
0.0101,-0.000409038,50.0011,0.00854388,0.000143698,0.000409487,3.47031e-05,0.24652,-0.000409038,50.0011,0.00854388,0.000143698,0.000409487,3.47031e-05,0.24652,-0.000409038,50.0011,0.00854388,0.000143698,0.000409487,3.47031e-05,0.24652,-0.000409038,50.0011,0.00854388,0.000143698,0.000409487,3.47031e-05,0.24652,-0.000409038,50.0011,0.00854388,0.000143698,0.000409487,3.47031e-05,0.24652,-0.728059,49.9836,0.0153249,0.00554035,0.0132855,-2.35194,0.0593527,0.753042,49.979,0.0109623,0.00566358,0.0133791,-2.35194,0.0593527,0.00859158,49.4598,-0.512721,0.0153801,0.00704245,-0.788903,0.0593527,0.0167814,50.5027,0.538978,0.0163416,0.00608722,-0.788888,0.0593527,0.0243912,49.4596,0.538579,-1.57378,-0.00285416,-0.00307968,0.0593527,0.000834419,50.5029,-0.512285,-1.57393,-0.00309579,-0.00292957,0.0593527,
0.0202,-0.000927581,49.986,0.00862744,0.000246438,0.000828236,7.6672e-05,0.24652,-0.000927581,49.986,0.00862744,0.000246438,0.000828236,7.6672e-05,0.24652,-0.000927581,49.986,0.00862744,0.000246438,0.000828236,7.6672e-05,0.24652,-0.000927581,49.986,0.00862744,0.000246438,0.000828236,7.6672e-05,0.24652,-0.000927581,49.986,0.00862744,0.000246438,0.000828236,7.6672e-05,0.24652,-0.725352,49.9687,0.0151998,0.00559552,0.0133002,-2.35195,0.0593527,0.751326,49.964,0.0109587,0.00560878,0.0133247,-2.35195,0.0593527,0.00885436,49.4465,-0.511202,0.0157315,0.00663687,-0.788897,0.0593527,0.0170031,50.4862,0.537372,0.0159627,0.00640749,-0.788902,0.0593527,0.0247004,49.4463,0.537011,-1.57389,-0.00293434,-0.00294649,0.0593527,0.00120337,50.4865,-0.510847,-1.57385,-0.00300573,-0.00298858,0.0593527,
0.0303,-0.00130962,49.9609,0.00869591,0.000404795,0.00131188,0.000119224,0.24652,-0.00130962,49.9609,0.00869591,0.000404795,0.00131188,0.000119224,0.24652,-0.00130962,49.9609,0.00869591,0.000404795,0.00131188,0.000119224,0.24652,-0.00130962,49.9609,0.00869591,0.000404795,0.00131188,0.000119224,0.24652,-0.00130962,49.9609,0.00869591,0.000404795,0.00131188,0.000119224,0.24652,-0.725507,49.9438,0.0151224,0.00555825,0.0132475,-2.35195,0.0593527,0.751915,49.9391,0.0109419,0.00547329,0.0131588,-2.35195,0.0593527,0.00922534,49.4213,-0.511515,0.0162178,0.00609364,-0.788898,0.0593527,0.0173525,50.4616,0.537578,0.0154091,0.00689731,-0.788911,0.0593527,0.0248978,49.4211,0.537188,-1.57379,-0.00317384,-0.00302061,0.0593527,0.00143739,50.4618,-0.511109,-1.574,-0.00295479,-0.00281453,0.0593527,
0.0404,-0.000365445,49.9259,0.00872117,0.00064939,0.00195671,0.000185295,0.24652,-0.000365445,49.9259,0.00872117,0.00064939,0.00195671,0.000185295,0.24652,-0.000365445,49.9259,0.00872117,0.00064939,0.00195671,0.000185295,0.24652,-0.000365445,49.9259,0.00872117,0.00064939,0.00195671,0.000185295,0.24652,-0.000365445,49.9259,0.00872117,0.00064939,0.00195671,0.000185295,0.24652,-0.728532,49.9089,0.0151088,0.00547263,0.013118,-2.35195,0.0593527,0.753544,49.9042,0.0109258,0.00548069,0.0131353,-2.35196,0.0593527,0.00858704,49.3848,-0.513156,0.0166015,0.00564963,-0.788885,0.0593527,0.0166877,50.4283,0.539209,0.0149771,0.00726374,-0.788968,0.0593527,0.024235,49.3846,0.538831,-1.57382,-0.00314075,-0.00294607,0.0593527,0.000878744,50.4285,-0.512817,-1.57397,-0.00296993,-0.00280371,0.0593527,
0.0505,-0.000135665,49.8813,0.00846216,-0.000586573,2.01404e-05,0.000215515,0.24652,-0.000135665,49.8813,0.00846216,-0.000586573,2.01404e-05,0.000215515,0.24652,-0.000135665,49.8813,0.00846216,-0.000586573,2.01404e-05,0.000215515,0.24652,-0.000135665,49.8813,0.00846216,-0.000586573,2.01404e-05,0.000215515,0.24652,-0.000135665,49.8813,0.00846216,-0.000586573,2.01404e-05,0.000215515,0.24652,-0.730272,49.8635,0.0154171,0.0050816,0.0128269,-2.35197,0.0593527,0.754954,49.8591,0.0109606,0.00574887,0.0134922,-2.35196,0.0593527,0.00837352,49.3384,-0.51412,0.0152151,0.00730202,-0.78891,0.0593527,0.0165558,50.3842,0.540448,0.0169066,0.00562164,-0.788878,0.0593527,0.0242186,49.3381,0.540225,-1.57367,-0.00279121,-0.00314414,0.0593527,0.000616434,50.3844,-0.513753,-1.57387,-0.00307992,-0.00294747,0.0593527,
0.0606,-0.000332514,49.8265,0.00836506,0.000219259,-0.000566666,-6.40551e-05,0.24652,-0.000332514,49.8265,0.00836506,0.000219259,-0.000566666,-6.40551e-05,0.24652,-0.000332514,49.8265,0.00836506,0.000219259,-0.000566666,-6.40551e-05,0.24652,-0.000332514,49.8265,0.00836506,0.000219259,-0.000566666,-6.40551e-05,0.24652,-0.000332514,49.8265,0.00836506,0.000219259,-0.000566666,-6.40551e-05,0.24652,-0.728346,49.8085,0.0155388,0.00575005,0.0135795,-2.35193,0.0593527,0.753421,49.8039,0.0110215,0.00583125,0.0136229,-2.35193,0.0593527,0.00842386,49.2845,-0.51282,0.014576,0.0079153,-0.788912,0.0593527,0.0166982,50.3278,0.539353,0.0173474,0.00516285,-0.788868,0.0593527,0.024327,49.2843,0.538941,-1.57381,-0.00269521,-0.00313203,0.0593527,0.000739069,50.3281,-0.512453,-1.57387,-0.00330473,-0.00307612,0.0593527,
0.0707,-0.000186453,49.7614,0.008454,0.00119485,-0.000939006,-0.000360489,0.24652,-0.000186453,49.7614,0.008454,0.00119485,-0.000939006,-0.000360489,0.24652,-0.000186453,49.7614,0.008454,0.00119485,-0.000939006,-0.000360489,0.24652,-0.000186453,49.7614,0.008454,0.00119485,-0.000939006,-0.000360489,0.24652,-0.000186453,49.7614,0.008454,0.00119485,-0.000939006,-0.000360489,0.24652,-0.728399,49.7436,0.0154735,0.00620141,0.0141082,-2.3519,0.0593527,0.753215,49.7388,0.0109431,0.00521754,0.0131565,-2.35191,0.0593527,0.00826038,49.2196,-0.512834,0.0164828,0.00598073,-0.788863,0.0593527,0.0166554,50.2628,0.539251,0.0148013,0.00765029,-0.788859,0.0593527,0.0242757,49.2194,0.538823,-1.57394,-0.00321452,-0.00311343,0.0593527,0.000648593,50.2631,-0.512446,-1.57395,-0.00297181,-0.00310476,0.0593527,
0.0808,-0.000213627,49.6862,0.00855725,0.00108982,-0.000844786,-0.000415613,0.24652,-0.000213627,49.6862,0.00855725,0.00108982,-0.000844786,-0.000415613,0.24652,-0.000213627,49.6862,0.00855725,0.00108982,-0.000844786,-0.000415613,0.24652,-0.000213627,49.6862,0.00855725,0.00108982,-0.000844786,-0.000415613,0.24652,-0.000213627,49.6862,0.00855725,0.00108982,-0.000844786,-0.000415613,0.24652,-0.72981,49.6688,0.0154868,0.00548359,0.0131811,-2.3519,0.0593527,0.754433,49.6639,0.0107293,0.00516288,0.0129788,-2.35191,0.0593527,0.00843451,49.1438,-0.513861,0.0167566,0.00570514,-0.788816,0.0593527,0.0167517,50.1889,0.540172,0.0141732,0.00827376,-0.788972,0.0593527,0.0242798,49.1435,0.539694,-1.57381,-0.00312446,-0.00325036,0.0593527,0.000680005,50.1891,-0.513438,-1.57408,-0.00272269,-0.00298344,0.0593527,
0.0909,-0.000189542,49.6012,0.00850364,-0.000390501,0.000878564,0.000150346,0.24652,-0.000189542,49.6012,0.00850364,-0.000390501,0.000878564,0.000150346,0.24652,-0.000189542,49.6012,0.00850364,-0.000390501,0.000878564,0.000150346,0.24652,-0.000189542,49.6012,0.00850364,-0.000390501,0.000878564,0.000150346,0.24652,-0.000189542,49.6012,0.00850364,-0.000390501,0.000878564,0.000150346,0.24652,-0.72935,49.5836,0.0152998,0.00469733,0.0124735,-2.35196,0.0593527,0.754097,49.5792,0.0110553,0.00605761,0.0137241,-2.35195,0.0593527,0.00841369,49.059,-0.513517,0.0149729,0.00745742,-0.788885,0.0593527,0.0165675,50.1036,0.539812,0.0165832,0.00585761,-0.788905,0.0593527,0.0242594,49.0589,0.53944,-1.57375,-0.00249257,-0.00300456,0.0593527,0.000681638,50.1039,-0.513085,-1.57385,-0.00304518,-0.00290747,0.0593527,
0.101,-0.000273506,49.5061,0.00841303,-0.00142529,0.00148374,0.000591737,0.24652,-0.000273506,49.5061,0.00841303,-0.00142529,0.00148374,0.000591737,0.24652,-0.000273506,49.5061,0.00841303,-0.00142529,0.00148374,0.000591737,0.24652,-0.000273506,49.5061,0.00841303,-0.00142529,0.00148374,0.000591737,0.24652,-0.000273506,49.5061,0.00841303,-0.00142529,0.00148374,0.000591737,0.24652,-0.728834,49.4885,0.0153047,0.00566282,0.0132508,-2.35199,0.0593527,0.753798,49.4842,0.0111609,0.00605871,0.0136952,-2.35198,0.0593527,0.00852659,48.9644,-0.513136,0.0149742,0.00748721,-0.788944,0.0593527,0.0165323,50.0084,0.539607,0.0179507,0.00453099,-0.788896,0.0593527,0.0242914,48.9642,0.53926,-1.57366,-0.00281939,-0.00295746,0.0593527,0.000704324,50.0086,-0.512816,-1.57376,-0.00334365,-0.00286417,0.0593527,
