time,0_rod(payload_bars compound_7w2R63).X,0_rod(payload_bars compound_7w2R63).Y,0_rod(payload_bars compound_7w2R63).Z,0_rod(payload_bars compound_7w2R63).Euler1,0_rod(payload_bars compound_7w2R63).Euler2,0_rod(payload_bars compound_7w2R63).Euler3,0_rod(payload_bars compound_7w2R63).mass,1_rod(payload_bars compound_7w2R63).X,1_rod(payload_bars compound_7w2R63).Y,1_rod(payload_bars compound_7w2R63).Z,1_rod(payload_bars compound_7w2R63).Euler1,1_rod(payload_bars compound_7w2R63).Euler2,1_rod(payload_bars compound_7w2R63).Euler3,1_rod(payload_bars compound_7w2R63).mass,2_rod(payload_bars compound_7w2R63).X,2_rod(payload_bars compound_7w2R63).Y,2_rod(payload_bars compound_7w2R63).Z,2_rod(payload_bars compound_7w2R63).Euler1,2_rod(payload_bars compound_7w2R63).Euler2,2_rod(payload_bars compound_7w2R63).Euler3,2_rod(payload_bars compound_7w2R63).mass,3_rod(payload_bars compound_7w2R63).X,3_rod(payload_bars compound_7w2R63).Y,3_rod(payload_bars compound_7w2R63).Z,3_rod(payload_bars compound_7w2R63).Euler1,3_rod(payload_bars compound_7w2R63).Euler2,3_rod(payload_bars compound_7w2R63).Euler3,3_rod(payload_bars compound_7w2R63).mass,4_rod(payload_bars compound_7w2R63).X,4_rod(payload_bars compound_7w2R63).Y,4_rod(payload_bars compound_7w2R63).Z,4_rod(payload_bars compound_7w2R63).Euler1,4_rod(payload_bars compound_7w2R63).Euler2,4_rod(payload_bars compound_7w2R63).Euler3,4_rod(payload_bars compound_7w2R63).mass,5_rod(strut).X,5_rod(strut).Y,5_rod(strut).Z,5_rod(strut).Euler1,5_rod(strut).Euler2,5_rod(strut).Euler3,5_rod(strut).mass,6_rod(strut).X,6_rod(strut).Y,6_rod(strut).Z,6_rod(strut).Euler1,6_rod(strut).Euler2,6_rod(strut).Euler3,6_rod(strut).mass,7_rod(strut).X,7_rod(strut).Y,7_rod(strut).Z,7_rod(strut).Euler1,7_rod(strut).Euler2,7_rod(strut).Euler3,7_rod(strut).mass,8_rod(strut).X,8_rod(strut).Y,8_rod(strut).Z,8_rod(strut).Euler1,8_rod(strut).Euler2,8_rod(strut).Euler3,8_rod(strut).mass,9_rod(strut).X,9_rod(strut).Y,9_rod(strut).Z,9_rod(strut).Euler1,9_rod(strut).Euler2,9_rod(strut).Euler3,9_rod(strut).mass,10_rod(strut).X,10_rod(strut).Y,10_rod(strut).Z,10_rod(strut).Euler1,10_rod(strut).Euler2,10_rod(strut).Euler3,10_rod(strut).mass,
0.0101,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,-4.42978,9.08884,0.00017769,-2.64146e-05,0.000477092,-3.14154,0.199491,3.38797,9.03935,-0.000377007,-0.000103743,-8.94847e-05,3.14156,0.199491,0.46905,8.34742,0.380089,-0.000150797,-4.91844e-05,-1.57074,0.199491,0.846641,12.0066,0.664819,0.000428606,-5.12157e-05,-1.57091,0.199491,0.774052,10.5432,2.00083,-1.57892,0.00077793,-0.000150963,0.199645,-0.309111,10.2974,-2.0002,-1.57083,-0.000775198,-0.000169145,0.199491,
0.0202,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,-4.42772,9.0737,0.000573732,-0.000174291,0.00189529,-3.14138,0.199491,3.38683,9.02427,-0.00164464,-0.000202645,-0.000416679,3.14155,0.199491,0.468928,8.33309,0.379967,-0.000713973,-0.000215796,-1.57041,0.199491,0.846382,11.9918,0.664157,0.00134913,-0.000250298,-1.57149,0.199491,0.772387,10.5277,2.00108,-1.5789,0.00268802,-0.000292373,0.199645,-0.307985,10.2824,-1.9988,-1.57087,-0.00265216,-0.000260413,0.199491,
0.0303,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,-4.42427,9.04843,0.000882185,-0.000538419,0.0039113,-3.14099,0.199491,3.38539,8.9994,-0.0028561,-0.000292448,-0.000758072,3.14143,0.199491,0.468372,8.30909,0.380055,-0.00132046,-0.000373479,-1.5701,0.199491,0.845977,11.9664,0.66304,0.00240189,-0.000476157,-1.57214,0.199491,0.77045,10.5023,2.00138,-1.57877,0.00470745,-0.000432481,0.199645,-0.307094,10.2577,-1.99716,-1.57098,-0.00459265,-0.000443443,0.199491,
0.0404,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,-4.4203,9.01314,0.00159487,-0.0011031,0.00579799,-3.14048,0.199491,3.38334,8.96462,-0.00413693,-0.000285268,-0.00115792,3.14127,0.199491,0.4681,8.27516,0.380309,-0.00197172,-0.000572849,-1.56982,0.199491,0.845609,11.9304,0.661548,0.00323285,-0.000785875,-1.57279,0.199491,0.767659,10.4668,2.00146,-1.57858,0.00582757,-0.000743245,0.199645,-0.30558,10.2233,-1.99544,-1.57111,-0.00572559,-0.000628869,0.199491,
0.0505,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,-4.41592,8.96773,0.00202034,-0.0017803,0.00719211,-3.13985,0.199491,3.38102,8.91991,-0.00575208,-0.000297793,-0.00175622,3.14107,0.199491,0.467778,8.23166,0.380634,-0.00242657,-0.000764234,-1.56947,0.199491,0.845163,11.8842,0.659899,0.00371267,-0.00111587,-1.57367,0.199491,0.764805,10.4212,2.00152,-1.57833,0.00584221,-0.00104179,0.199645,-0.304022,10.1789,-1.99298,-1.57127,-0.00556843,-0.000846253,0.199491,
0.0606,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,-4.41104,8.91208,0.00237135,-0.00252834,0.00785328,-3.13911,0.199491,3.37829,8.86521,-0.00745752,-0.000380745,-0.00244328,3.14084,0.199491,0.46749,8.17858,0.381154,-0.00264642,-0.000951279,-1.56909,0.199491,0.844781,11.8279,0.658057,0.00390289,-0.00145999,-1.57463,0.199491,0.7618,10.3653,2.00157,-1.57805,0.00491079,-0.00138875,0.199645,-0.302489,10.1245,-1.99036,-1.57145,-0.00448123,-0.00103928,0.199491,
0.0707,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,-4.40583,8.84642,0.00299857,-0.00329442,0.00771908,-3.13836,0.199491,3.3753,8.80052,-0.00913925,-0.000467763,-0.00312825,3.1406,0.199491,0.467157,8.11558,0.381621,-0.00267387,-0.00118598,-1.56872,0.199491,0.844366,11.7616,0.656076,0.00385456,-0.00184267,-1.57555,0.199491,0.75845,10.2994,2.00145,-1.57776,0.00351092,-0.00176745,0.199645,-0.300608,10.0601,-1.98767,-1.57163,-0.00308091,-0.00128164,0.199491,
0.0808,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,-4.40011,8.77101,0.0036846,-0.00397311,0.00709681,-3.13772,0.199491,3.37239,8.72575,-0.0110766,-0.000514516,-0.00392695,3.14041,0.199491,0.46667,8.04243,0.381832,-0.00254943,-0.00144235,-1.56829,0.199491,0.843773,11.6849,0.654215,0.00364912,-0.00224817,-1.57654,0.199491,0.754898,10.2237,2.00153,-1.57753,0.00208814,-0.00211549,0.199645,-0.298786,9.98571,-1.98484,-1.5718,-0.00172292,-0.00153263,0.199491,
0.0909,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,-4.39444,8.68557,0.00428352,-0.00464183,0.00643536,-3.13708,0.199491,3.36935,8.641,-0.0130843,-0.000561065,-0.00475605,3.14022,0.199491,0.46623,7.95922,0.382076,-0.00243042,-0.00170533,-1.56782,0.199491,0.843292,11.5983,0.652398,0.003456,-0.0026345,-1.57759,0.199491,0.751348,10.1381,2.00162,-1.5773,0.000670063,-0.00249429,0.199645,-0.296941,9.90129,-1.98195,-1.57197,-0.000420606,-0.0017558,0.199491,
0.101,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,-4.38877,8.59013,0.00488147,-0.00531109,0.00577453,-3.13644,0.199491,3.3663,8.54625,-0.0150976,-0.000610082,-0.00558575,3.14003,0.199491,0.465791,7.866,0.382336,-0.00231259,-0.00196753,-1.56736,0.199491,0.842814,11.5017,0.65058,0.00326412,-0.00302141,-1.57863,0.199491,0.747798,10.0424,2.00171,-1.57707,-0.000748024,-0.00287308,0.199645,-0.295091,9.80687,-1.97907,-1.57214,0.000885098,-0.00197844,0.199491,
