time,0_rod(payload_bars compound_7gilrq).X,0_rod(payload_bars compound_7gilrq).Y,0_rod(payload_bars compound_7gilrq).Z,0_rod(payload_bars compound_7gilrq).Euler1,0_rod(payload_bars compound_7gilrq).Euler2,0_rod(payload_bars compound_7gilrq).Euler3,0_rod(payload_bars compound_7gilrq).mass,1_rod(payload_bars compound_7gilrq).X,1_rod(payload_bars compound_7gilrq).Y,1_rod(payload_bars compound_7gilrq).Z,1_rod(payload_bars compound_7gilrq).Euler1,1_rod(payload_bars compound_7gilrq).Euler2,1_rod(payload_bars compound_7gilrq).Euler3,1_rod(payload_bars compound_7gilrq).mass,2_rod(payload_bars compound_7gilrq).X,2_rod(payload_bars compound_7gilrq).Y,2_rod(payload_bars compound_7gilrq).Z,2_rod(payload_bars compound_7gilrq).Euler1,2_rod(payload_bars compound_7gilrq).Euler2,2_rod(payload_bars compound_7gilrq).Euler3,2_rod(payload_bars compound_7gilrq).mass,3_rod(payload_bars compound_7gilrq).X,3_rod(payload_bars compound_7gilrq).Y,3_rod(payload_bars compound_7gilrq).Z,3_rod(payload_bars compound_7gilrq).Euler1,3_rod(payload_bars compound_7gilrq).Euler2,3_rod(payload_bars compound_7gilrq).Euler3,3_rod(payload_bars compound_7gilrq).mass,4_rod(sense_bar compound_7gilrq).X,4_rod(sense_bar compound_7gilrq).Y,4_rod(sense_bar compound_7gilrq).Z,4_rod(sense_bar compound_7gilrq).Euler1,4_rod(sense_bar compound_7gilrq).Euler2,4_rod(sense_bar compound_7gilrq).Euler3,4_rod(sense_bar compound_7gilrq).mass,5_rod(strut).X,5_rod(strut).Y,5_rod(strut).Z,5_rod(strut).Euler1,5_rod(strut).Euler2,5_rod(strut).Euler3,5_rod(strut).mass,6_rod(strut).X,6_rod(strut).Y,6_rod(strut).Z,6_rod(strut).Euler1,6_rod(strut).Euler2,6_rod(strut).Euler3,6_rod(strut).mass,7_rod(strut).X,7_rod(strut).Y,7_rod(strut).Z,7_rod(strut).Euler1,7_rod(strut).Euler2,7_rod(strut).Euler3,7_rod(strut).mass,8_rod(strut).X,8_rod(strut).Y,8_rod(strut).Z,8_rod(strut).Euler1,8_rod(strut).Euler2,8_rod(strut).Euler3,8_rod(strut).mass,9_rod(strut).X,9_rod(strut).Y,9_rod(strut).Z,9_rod(strut).Euler1,9_rod(strut).Euler2,9_rod(strut).Euler3,9_rod(strut).mass,10_rod(strut).X,10_rod(strut).Y,10_rod(strut).Z,10_rod(strut).Euler1,10_rod(strut).Euler2,10_rod(strut).Euler3,10_rod(strut).mass,
0.0101,-0.000402759,50.0011,0.00853089,3.88888e-05,0.000471752,3.13569e-05,0.24652,-0.000402759,50.0011,0.00853089,3.88888e-05,0.000471752,3.13569e-05,0.24652,-0.000402759,50.0011,0.00853089,3.88888e-05,0.000471752,3.13569e-05,0.24652,-0.000402759,50.0011,0.00853089,3.88888e-05,0.000471752,3.13569e-05,0.24652,-0.000402759,50.0011,0.00853089,3.88888e-05,0.000471752,3.13569e-05,0.24652,-0.728064,49.9836,0.0153278,0.0056129,0.0134398,-2.35189,0.0593527,0.753038,49.979,0.0109738,0.00574469,0.0135401,-2.35189,0.0593527,0.00854296,49.4598,-0.51274,0.015578,0.00712392,-0.78894,0.0593527,0.0168209,50.5027,0.539013,0.0165387,0.00616967,-0.788934,0.0593527,0.0245347,49.4597,0.538611,-1.57377,-0.00256287,-0.00307562,0.0593527,0.000682305,50.5029,-0.512293,-1.57392,-0.00345815,-0.00292615,0.0593527,
0.0202,-0.000917665,49.986,0.00858934,5.71859e-05,0.00101027,6.99825e-05,0.24652,-0.000917665,49.986,0.00858934,5.71859e-05,0.00101027,6.99825e-05,0.24652,-0.000917665,49.986,0.00858934,5.71859e-05,0.00101027,6.99825e-05,0.24652,-0.000917665,49.986,0.00858934,5.71859e-05,0.00101027,6.99825e-05,0.24652,-0.000917665,49.986,0.00858934,5.71859e-05,0.00101027,6.99825e-05,0.24652,-0.725355,49.9687,0.0152163,0.00567567,0.013443,-2.35189,0.0593527,0.751315,49.964,0.0109977,0.00570866,0.0134885,-2.35189,0.0593527,0.00881283,49.4465,-0.5112,0.01594,0.00670512,-0.78894,0.0593527,0.0170308,50.4862,0.537423,0.0161736,0.00647338,-0.788941,0.0593527,0.024839,49.4463,0.537053,-1.57388,-0.00280556,-0.00293328,0.0593527,0.001051,50.4864,-0.510841,-1.57383,-0.0031626,-0.00297553,0.0593527,
0.0303,-0.00129169,49.961,0.00863559,0.000101861,0.0015993,0.000107858,0.24652,-0.00129169,49.961,0.00863559,0.000101861,0.0015993,0.000107858,0.24652,-0.00129169,49.961,0.00863559,0.000101861,0.0015993,0.000107858,0.24652,-0.00129169,49.961,0.00863559,0.000101861,0.0015993,0.000107858,0.24652,-0.00129169,49.961,0.00863559,0.000101861,0.0015993,0.000107858,0.24652,-0.725511,49.9438,0.0151491,0.00565728,0.0133915,-2.35189,0.0593527,0.751893,49.9391,0.0109999,0.00555236,0.0132812,-2.3519,0.0593527,0.00918925,49.4213,-0.511495,0.0164444,0.00614408,-0.788939,0.0593527,0.0173655,50.4615,0.537641,0.0156331,0.0069502,-0.78895,0.0593527,0.0250258,49.4212,0.537245,-1.57376,-0.0034417,-0.00300242,0.0593527,0.00128434,50.4617,-0.511082,-1.57397,-0.00263287,-0.00279525,0.0593527,
0.0404,-0.000344287,49.9259,0.00864771,6.85013e-05,0.00229105,0.000165094,0.24652,-0.000344287,49.9259,0.00864771,6.85013e-05,0.00229105,0.000165094,0.24652,-0.000344287,49.9259,0.00864771,6.85013e-05,0.00229105,0.000165094,0.24652,-0.000344287,49.9259,0.00864771,6.85013e-05,0.00229105,0.000165094,0.24652,-0.000344287,49.9259,0.00864771,6.85013e-05,0.00229105,0.000165094,0.24652,-0.728539,49.9088,0.01514,0.00558908,0.0132494,-2.3519,0.0593527,0.753522,49.9042,0.0110091,0.00554263,0.0132377,-2.3519,0.0593527,0.00855686,49.3848,-0.513146,0.0168448,0.00570516,-0.788946,0.0593527,0.0166825,50.4283,0.539287,0.0152189,0.00732007,-0.788991,0.0593527,0.0243821,49.3846,0.538902,-1.57378,-0.00309322,-0.00291348,0.0593527,0.000707669,50.4285,-0.512785,-1.57391,-0.00304573,-0.00278067,0.0593527,
0.0505,-0.000138739,49.8813,0.00848081,-0.000737085,0.000250267,0.000266289,0.24652,-0.000138739,49.8813,0.00848081,-0.000737085,0.000250267,0.000266289,0.24652,-0.000138739,49.8813,0.00848081,-0.000737085,0.000250267,0.000266289,0.24652,-0.000138739,49.8813,0.00848081,-0.000737085,0.000250267,0.000266289,0.24652,-0.000138739,49.8813,0.00848081,-0.000737085,0.000250267,0.000266289,0.24652,-0.730285,49.8635,0.0153703,0.00520797,0.0130295,-2.35192,0.0593527,0.754947,49.8591,0.0109757,0.00581772,0.0136661,-2.35191,0.0593527,0.00834801,49.3384,-0.514148,0.0154853,0.00730093,-0.788938,0.0593527,0.0166049,50.3842,0.540461,0.0172222,0.00557629,-0.788933,0.0593527,0.0243679,49.3381,0.540235,-1.57366,-0.0022525,-0.00313093,0.0593527,0.00047594,50.3844,-0.513793,-1.57387,-0.00365511,-0.00291966,0.0593527,
0.0606,-0.000316659,49.8265,0.00838292,0.00053248,-0.000797452,-3.41356e-05,0.24652,-0.000316659,49.8265,0.00838292,0.00053248,-0.000797452,-3.41356e-05,0.24652,-0.000316659,49.8265,0.00838292,0.00053248,-0.000797452,-3.41356e-05,0.24652,-0.000316659,49.8265,0.00838292,0.00053248,-0.000797452,-3.41356e-05,0.24652,-0.000316659,49.8265,0.00838292,0.00053248,-0.000797452,-3.41356e-05,0.24652,-0.728361,49.8085,0.0155434,0.00573644,0.0137181,-2.35188,0.0593527,0.753421,49.8039,0.0109888,0.00595943,0.0138713,-2.35187,0.0593527,0.00833886,49.2845,-0.512874,0.0148075,0.0079528,-0.788954,0.0593527,0.016756,50.3278,0.53937,0.0175304,0.00524862,-0.788917,0.0593527,0.0244561,49.2844,0.538963,-1.57384,-0.00227136,-0.00315191,0.0593527,0.000585826,50.3281,-0.512484,-1.57389,-0.00385882,-0.00309947,0.0593527,
0.0707,-0.000181813,49.7615,0.00845712,0.00180664,-0.0016555,-0.000351509,0.24652,-0.000181813,49.7615,0.00845712,0.00180664,-0.0016555,-0.000351509,0.24652,-0.000181813,49.7615,0.00845712,0.00180664,-0.0016555,-0.000351509,0.24652,-0.000181813,49.7615,0.00845712,0.00180664,-0.0016555,-0.000351509,0.24652,-0.000181813,49.7615,0.00845712,0.00180664,-0.0016555,-0.000351509,0.24652,-0.728391,49.7436,0.0155374,0.00616272,0.0142279,-2.35185,0.0593527,0.7532,49.7388,0.0108794,0.00524697,0.0133687,-2.35186,0.0593527,0.00815032,49.2196,-0.512859,0.0165392,0.00620714,-0.78891,0.0593527,0.0167569,50.2628,0.539279,0.0148451,0.0078891,-0.788898,0.0593527,0.0244155,49.2194,0.538834,-1.57399,-0.00361412,-0.0031808,0.0593527,0.000505952,50.263,-0.512472,-1.574,-0.00251612,-0.00317534,0.0593527,
0.0808,-0.000232207,49.6863,0.00855969,0.00141569,-0.0012405,-0.000393215,0.24652,-0.000232207,49.6863,0.00855969,0.00141569,-0.0012405,-0.000393215,0.24652,-0.000232207,49.6863,0.00855969,0.00141569,-0.0012405,-0.000393215,0.24652,-0.000232207,49.6863,0.00855969,0.00141569,-0.0012405,-0.000393215,0.24652,-0.000232207,49.6863,0.00855969,0.00141569,-0.0012405,-0.000393215,0.24652,-0.72965,49.6688,0.0155313,0.00558556,0.0134347,-2.35185,0.0593527,0.754345,49.6639,0.0106862,0.00514528,0.0130567,-2.35186,0.0593527,0.00836153,49.1439,-0.51382,0.016724,0.00601763,-0.78887,0.0593527,0.0168288,50.1888,0.54011,0.0141593,0.00856717,-0.789004,0.0593527,0.0244274,49.1436,0.539627,-1.57384,-0.00342187,-0.00328187,0.0593527,0.000534441,50.189,-0.513361,-1.5741,-0.0023276,-0.00302632,0.0593527,
0.0909,-0.000183436,49.6012,0.00850976,-0.000781676,0.0013399,0.000147771,0.24652,-0.000183436,49.6012,0.00850976,-0.000781676,0.0013399,0.000147771,0.24652,-0.000183436,49.6012,0.00850976,-0.000781676,0.0013399,0.000147771,0.24652,-0.000183436,49.6012,0.00850976,-0.000781676,0.0013399,0.000147771,0.24652,-0.000183436,49.6012,0.00850976,-0.000781676,0.0013399,0.000147771,0.24652,-0.729411,49.5835,0.0152274,0.00485944,0.0127264,-2.35191,0.0593527,0.754161,49.5792,0.0111148,0.0061032,0.0138485,-2.35189,0.0593527,0.00837511,49.059,-0.513597,0.0152328,0.00746802,-0.788916,0.0593527,0.0165907,50.1036,0.53988,0.0167639,0.00594701,-0.788956,0.0593527,0.0243989,49.0589,0.539515,-1.57372,-0.00180041,-0.0029598,0.0593527,0.000529072,50.1039,-0.513161,-1.57381,-0.00392013,-0.00286372,0.0593527,
0.101,-0.000276237,49.5061,0.00841508,-0.00192979,0.00194567,0.000521967,0.24652,-0.000276237,49.5061,0.00841508,-0.00192979,0.00194567,0.000521967,0.24652,-0.000276237,49.5061,0.00841508,-0.00192979,0.00194567,0.000521967,0.24652,-0.000276237,49.5061,0.00841508,-0.00192979,0.00194567,0.000521967,0.24652,-0.000276237,49.5061,0.00841508,-0.00192979,0.00194567,0.000521967,0.24652,-0.728794,49.4884,0.0152489,0.00565001,0.0132884,-2.35193,0.0593527,0.753743,49.4843,0.0112154,0.00624754,0.0139519,-2.35192,0.0593527,0.00851649,48.9644,-0.51315,0.0155541,0.00718966,-0.788981,0.0593527,0.0165574,50.0084,0.539629,0.0185484,0.00421608,-0.788933,0.0593527,0.0244441,48.9642,0.539259,-1.57362,-0.00221208,-0.00292028,0.0593527,0.000561733,50.0085,-0.512828,-1.57372,-0.00408379,-0.00282223,0.0593527,
