time,0_rod(payload_bars compound_mqvpOj).X,0_rod(payload_bars compound_mqvpOj).Y,0_rod(payload_bars compound_mqvpOj).Z,0_rod(payload_bars compound_mqvpOj).Euler1,0_rod(payload_bars compound_mqvpOj).Euler2,0_rod(payload_bars compound_mqvpOj).Euler3,0_rod(payload_bars compound_mqvpOj).mass,1_rod(payload_bars compound_mqvpOj).X,1_rod(payload_bars compound_mqvpOj).Y,1_rod(payload_bars compound_mqvpOj).Z,1_rod(payload_bars compound_mqvpOj).Euler1,1_rod(payload_bars compound_mqvpOj).Euler2,1_rod(payload_bars compound_mqvpOj).Euler3,1_rod(payload_bars compound_mqvpOj).mass,2_rod(payload_bars compound_mqvpOj).X,2_rod(payload_bars compound_mqvpOj).Y,2_rod(payload_bars compound_mqvpOj).Z,2_rod(payload_bars compound_mqvpOj).Euler1,2_rod(payload_bars compound_mqvpOj).Euler2,2_rod(payload_bars compound_mqvpOj).Euler3,2_rod(payload_bars compound_mqvpOj).mass,3_rod(payload_bars compound_mqvpOj).X,3_rod(payload_bars compound_mqvpOj).Y,3_rod(payload_bars compound_mqvpOj).Z,3_rod(payload_bars compound_mqvpOj).Euler1,3_rod(payload_bars compound_mqvpOj).Euler2,3_rod(payload_bars compound_mqvpOj).Euler3,3_rod(payload_bars compound_mqvpOj).mass,4_rod(sense_bar compound_mqvpOj).X,4_rod(sense_bar compound_mqvpOj).Y,4_rod(sense_bar compound_mqvpOj).Z,4_rod(sense_bar compound_mqvpOj).Euler1,4_rod(sense_bar compound_mqvpOj).Euler2,4_rod(sense_bar compound_mqvpOj).Euler3,4_rod(sense_bar compound_mqvpOj).mass,5_rod(strut).X,5_rod(strut).Y,5_rod(strut).Z,5_rod(strut).Euler1,5_rod(strut).Euler2,5_rod(strut).Euler3,5_rod(strut).mass,6_rod(strut).X,6_rod(strut).Y,6_rod(strut).Z,6_rod(strut).Euler1,6_rod(strut).Euler2,6_rod(strut).Euler3,6_rod(strut).mass,7_rod(strut).X,7_rod(strut).Y,7_rod(strut).Z,7_rod(strut).Euler1,7_rod(strut).Euler2,7_rod(strut).Euler3,7_rod(strut).mass,8_rod(strut).X,8_rod(strut).Y,8_rod(strut).Z,8_rod(strut).Euler1,8_rod(strut).Euler2,8_rod(strut).Euler3,8_rod(strut).mass,9_rod(strut).X,9_rod(strut).Y,9_rod(strut).Z,9_rod(strut).Euler1,9_rod(strut).Euler2,9_rod(strut).Euler3,9_rod(strut).mass,10_rod(strut).X,10_rod(strut).Y,10_rod(strut).Z,10_rod(strut).Euler1,10_rod(strut).Euler2,10_rod(strut).Euler3,10_rod(strut).mass,
0.0101,-0.000408501,50.0011,0.00852772,9.29057e-05,0.000362584,2.61949e-05,0.24652,-0.000408501,50.0011,0.00852772,9.29057e-05,0.000362584,2.61949e-05,0.24652,-0.000408501,50.0011,0.00852772,9.29057e-05,0.000362584,2.61949e-05,0.24652,-0.000408501,50.0011,0.00852772,9.29057e-05,0.000362584,2.61949e-05,0.24652,-0.000408501,50.0011,0.00852772,9.29057e-05,0.000362584,2.61949e-05,0.24652,-0.728059,49.9836,0.0153336,0.0055365,0.0132814,-2.35194,0.0593527,0.75304,49.979,0.0109663,0.00567406,0.0133891,-2.35194,0.0593527,0.00859197,49.4598,-0.51271,0.0153844,0.00704703,-0.788894,0.0593527,0.0167815,50.5027,0.538987,0.0163464,0.00609162,-0.788895,0.0593527,0.0243978,49.4596,0.538595,-1.57377,-0.00289343,-0.00308314,0.0593527,0.000827107,50.5029,-0.512266,-1.57392,-0.00315104,-0.00293211,0.0593527,
0.0202,-0.000927547,49.9861,0.00857667,0.000224153,0.000815377,5.69886e-05,0.24652,-0.000927547,49.9861,0.00857667,0.000224153,0.000815377,5.69886e-05,0.24652,-0.000927547,49.9861,0.00857667,0.000224153,0.000815377,5.69886e-05,0.24652,-0.000927547,49.9861,0.00857667,0.000224153,0.000815377,5.69886e-05,0.24652,-0.000927547,49.9861,0.00857667,0.000224153,0.000815377,5.69886e-05,0.24652,-0.72535,49.9687,0.0152381,0.00558937,0.0132933,-2.35194,0.0593527,0.751323,49.964,0.0109953,0.00563994,0.0133548,-2.35194,0.0593527,0.00885458,49.4465,-0.511166,0.015734,0.00663839,-0.788899,0.0593527,0.0170025,50.4862,0.537406,0.015965,0.00640912,-0.788896,0.0593527,0.0247032,49.4462,0.53704,-1.57389,-0.00295088,-0.00294753,0.0593527,0.00120051,50.4864,-0.510811,-1.57385,-0.00302898,-0.00298993,0.0593527,
0.0303,-0.00130382,49.961,0.00861851,0.000365068,0.0012878,8.75719e-05,0.24652,-0.00130382,49.961,0.00861851,0.000365068,0.0012878,8.75719e-05,0.24652,-0.00130382,49.961,0.00861851,0.000365068,0.0012878,8.75719e-05,0.24652,-0.00130382,49.961,0.00861851,0.000365068,0.0012878,8.75719e-05,0.24652,-0.00130382,49.961,0.00861851,0.000365068,0.0012878,8.75719e-05,0.24652,-0.725506,49.9438,0.015183,0.00557058,0.0132582,-2.35195,0.0593527,0.751904,49.9391,0.0109928,0.0054454,0.0131296,-2.35195,0.0593527,0.00922458,49.4213,-0.511458,0.0162218,0.00609439,-0.788897,0.0593527,0.0173503,50.4615,0.53763,0.0154113,0.00689981,-0.788905,0.0593527,0.0248849,49.4211,0.537231,-1.57378,-0.00313329,-0.00303259,0.0593527,0.00144031,50.4617,-0.511051,-1.57399,-0.00290084,-0.00282054,0.0593527,
0.0404,-0.000346672,49.926,0.00865338,0.000361545,0.00169709,0.000123274,0.24652,-0.000346672,49.926,0.00865338,0.000361545,0.00169709,0.000123274,0.24652,-0.000346672,49.926,0.00865338,0.000361545,0.00169709,0.000123274,0.24652,-0.000346672,49.926,0.00865338,0.000361545,0.00169709,0.000123274,0.24652,-0.000346672,49.926,0.00865338,0.000361545,0.00169709,0.000123274,0.24652,-0.728532,49.9088,0.0151764,0.00549292,0.013134,-2.35195,0.0593527,0.753526,49.9042,0.0109594,0.00541468,0.0130624,-2.35195,0.0593527,0.00857315,49.3847,-0.513118,0.016635,0.0056662,-0.788902,0.0593527,0.0166704,50.4283,0.539247,0.0149926,0.00729724,-0.788925,0.0593527,0.0242489,49.3845,0.538873,-1.5738,-0.00314565,-0.00296524,0.0593527,0.000834852,50.4285,-0.512754,-1.57394,-0.0029803,-0.00282644,0.0593527,
0.0505,-0.000143966,49.8813,0.00847739,-0.000529477,8.2387e-05,0.000166054,0.24652,-0.000143966,49.8813,0.00847739,-0.000529477,8.2387e-05,0.000166054,0.24652,-0.000143966,49.8813,0.00847739,-0.000529477,8.2387e-05,0.000166054,0.24652,-0.000143966,49.8813,0.00847739,-0.000529477,8.2387e-05,0.000166054,0.24652,-0.000143966,49.8813,0.00847739,-0.000529477,8.2387e-05,0.000166054,0.24652,-0.73029,49.8635,0.015394,0.00517955,0.0129208,-2.35196,0.0593527,0.754963,49.8591,0.0109503,0.0057747,0.013521,-2.35195,0.0593527,0.00839036,49.3384,-0.514137,0.0151814,0.00732584,-0.788892,0.0593527,0.0165709,50.3842,0.540458,0.0169369,0.00558271,-0.788894,0.0593527,0.0242263,49.3381,0.540227,-1.57367,-0.0028661,-0.00314603,0.0593527,0.000619033,50.3845,-0.513778,-1.57389,-0.00317793,-0.00292879,0.0593527,
0.0606,-0.000325617,49.8264,0.008378,0.000311485,-0.000498518,-4.12241e-05,0.24652,-0.000325617,49.8264,0.008378,0.000311485,-0.000498518,-4.12241e-05,0.24652,-0.000325617,49.8264,0.008378,0.000311485,-0.000498518,-4.12241e-05,0.24652,-0.000325617,49.8264,0.008378,0.000311485,-0.000498518,-4.12241e-05,0.24652,-0.000325617,49.8264,0.008378,0.000311485,-0.000498518,-4.12241e-05,0.24652,-0.728331,49.8085,0.0155186,0.00566839,0.0135024,-2.35193,0.0593527,0.753416,49.8039,0.0110126,0.00596731,0.0137583,-2.35193,0.0593527,0.00840969,49.2845,-0.512825,0.0145825,0.00789613,-0.788902,0.0593527,0.0166859,50.3278,0.539339,0.0173302,0.00516753,-0.788878,0.0593527,0.0243186,49.2843,0.538934,-1.57383,-0.00273014,-0.00311607,0.0593527,0.000734829,50.3281,-0.512452,-1.57387,-0.00336598,-0.00307538,0.0593527,
0.0707,-0.000189906,49.7615,0.00842089,0.00116319,-0.00102627,-0.000272358,0.24652,-0.000189906,49.7615,0.00842089,0.00116319,-0.00102627,-0.000272358,0.24652,-0.000189906,49.7615,0.00842089,0.00116319,-0.00102627,-0.000272358,0.24652,-0.000189906,49.7615,0.00842089,0.00116319,-0.00102627,-0.000272358,0.24652,-0.000189906,49.7615,0.00842089,0.00116319,-0.00102627,-0.000272358,0.24652,-0.728411,49.7436,0.0155041,0.00604747,0.0139597,-2.35191,0.0593527,0.753225,49.7388,0.0109614,0.00522359,0.013168,-2.35192,0.0593527,0.00826347,49.2196,-0.512815,0.0164946,0.00598044,-0.788873,0.0593527,0.0166636,50.2628,0.53928,0.0147931,0.00766966,-0.788864,0.0593527,0.0242819,49.2193,0.538855,-1.57393,-0.00316564,-0.00312635,0.0593527,0.000647891,50.2631,-0.512436,-1.57395,-0.00288392,-0.00311159,0.0593527,
0.0808,-0.000211331,49.6863,0.00853271,0.000986638,-0.000952465,-0.000225186,0.24652,-0.000211331,49.6863,0.00853271,0.000986638,-0.000952465,-0.000225186,0.24652,-0.000211331,49.6863,0.00853271,0.000986638,-0.000952465,-0.000225186,0.24652,-0.000211331,49.6863,0.00853271,0.000986638,-0.000952465,-0.000225186,0.24652,-0.000211331,49.6863,0.00853271,0.000986638,-0.000952465,-0.000225186,0.24652,-0.729811,49.6688,0.015526,0.0055967,0.0133001,-2.35192,0.0593527,0.754428,49.6639,0.0107504,0.00499773,0.0128073,-2.35193,0.0593527,0.00843282,49.1438,-0.513825,0.0167493,0.00573155,-0.788845,0.0593527,0.0167501,50.1889,0.54015,0.0141664,0.00829858,-0.788937,0.0593527,0.0242879,49.1435,0.539705,-1.5738,-0.00311762,-0.00325922,0.0593527,0.000672249,50.1891,-0.513422,-1.57407,-0.00271658,-0.00299402,0.0593527,
0.0909,-0.000188582,49.6012,0.0085222,-0.000347324,0.000975343,0.000166735,0.24652,-0.000188582,49.6012,0.0085222,-0.000347324,0.000975343,0.000166735,0.24652,-0.000188582,49.6012,0.0085222,-0.000347324,0.000975343,0.000166735,0.24652,-0.000188582,49.6012,0.0085222,-0.000347324,0.000975343,0.000166735,0.24652,-0.000188582,49.6012,0.0085222,-0.000347324,0.000975343,0.000166735,0.24652,-0.729347,49.5836,0.0152664,0.00491168,0.0126793,-2.35196,0.0593527,0.754093,49.5792,0.0110426,0.00600943,0.013681,-2.35195,0.0593527,0.00841498,49.059,-0.513521,0.0149546,0.00746414,-0.788861,0.0593527,0.0165659,50.1036,0.539801,0.0165936,0.00583662,-0.788929,0.0593527,0.0242601,49.0589,0.539429,-1.57376,-0.0026736,-0.00299252,0.0593527,0.00067878,50.1039,-0.51309,-1.57386,-0.00325896,-0.00289384,0.0593527,
0.101,-0.000274381,49.5061,0.00839937,-0.00144533,0.00149056,0.000422202,0.24652,-0.000274381,49.5061,0.00839937,-0.00144533,0.00149056,0.000422202,0.24652,-0.000274381,49.5061,0.00839937,-0.00144533,0.00149056,0.000422202,0.24652,-0.000274381,49.5061,0.00839937,-0.00144533,0.00149056,0.000422202,0.24652,-0.000274381,49.5061,0.00839937,-0.00144533,0.00149056,0.000422202,0.24652,-0.728833,49.4885,0.0153113,0.00548372,0.0130765,-2.35198,0.0593527,0.753801,49.4842,0.0111715,0.00628037,0.0139105,-2.35196,0.0593527,0.00852751,48.9644,-0.513137,0.0150028,0.00746086,-0.788931,0.0593527,0.0165315,50.0084,0.53963,0.0179701,0.0045137,-0.788882,0.0593527,0.0242954,48.9642,0.539264,-1.57366,-0.00286613,-0.00295521,0.0593527,0.000700004,50.0086,-0.5128,-1.57376,-0.00343313,-0.00286203,0.0593527,
