time,0_rod(payload_bars compound_YMSwew).X,0_rod(payload_bars compound_YMSwew).Y,0_rod(payload_bars compound_YMSwew).Z,0_rod(payload_bars compound_YMSwew).Euler1,0_rod(payload_bars compound_YMSwew).Euler2,0_rod(payload_bars compound_YMSwew).Euler3,0_rod(payload_bars compound_YMSwew).mass,1_rod(payload_bars compound_YMSwew).X,1_rod(payload_bars compound_YMSwew).Y,1_rod(payload_bars compound_YMSwew).Z,1_rod(payload_bars compound_YMSwew).Euler1,1_rod(payload_bars compound_YMSwew).Euler2,1_rod(payload_bars compound_YMSwew).Euler3,1_rod(payload_bars compound_YMSwew).mass,2_rod(payload_bars compound_YMSwew).X,2_rod(payload_bars compound_YMSwew).Y,2_rod(payload_bars compound_YMSwew).Z,2_rod(payload_bars compound_YMSwew).Euler1,2_rod(payload_bars compound_YMSwew).Euler2,2_rod(payload_bars compound_YMSwew).Euler3,2_rod(payload_bars compound_YMSwew).mass,3_rod(payload_bars compound_YMSwew).X,3_rod(payload_bars compound_YMSwew).Y,3_rod(payload_bars compound_YMSwew).Z,3_rod(payload_bars compound_YMSwew).Euler1,3_rod(payload_bars compound_YMSwew).Euler2,3_rod(payload_bars compound_YMSwew).Euler3,3_rod(payload_bars compound_YMSwew).mass,4_rod(sense_bar compound_YMSwew).X,4_rod(sense_bar compound_YMSwew).Y,4_rod(sense_bar compound_YMSwew).Z,4_rod(sense_bar compound_YMSwew).Euler1,4_rod(sense_bar compound_YMSwew).Euler2,4_rod(sense_bar compound_YMSwew).Euler3,4_rod(sense_bar compound_YMSwew).mass,5_rod(strut).X,5_rod(strut).Y,5_rod(strut).Z,5_rod(strut).Euler1,5_rod(strut).Euler2,5_rod(strut).Euler3,5_rod(strut).mass,6_rod(strut).X,6_rod(strut).Y,6_rod(strut).Z,6_rod(strut).Euler1,6_rod(strut).Euler2,6_rod(strut).Euler3,6_rod(strut).mass,7_rod(strut).X,7_rod(strut).Y,7_rod(strut).Z,7_rod(strut).Euler1,7_rod(strut).Euler2,7_rod(strut).Euler3,7_rod(strut).mass,8_rod(strut).X,8_rod(strut).Y,8_rod(strut).Z,8_rod(strut).Euler1,8_rod(strut).Euler2,8_rod(strut).Euler3,8_rod(strut).mass,9_rod(strut).X,9_rod(strut).Y,9_rod(strut).Z,9_rod(strut).Euler1,9_rod(strut).Euler2,9_rod(strut).Euler3,9_rod(strut).mass,10_rod(strut).X,10_rod(strut).Y,10_rod(strut).Z,10_rod(strut).Euler1,10_rod(strut).Euler2,10_rod(strut).Euler3,10_rod(strut).mass,
0.0101,1.2154e-05,50.0011,0.0084985,0.000158238,0.000202989,2.84666e-05,0.24652,1.2154e-05,50.0011,0.0084985,0.000158238,0.000202989,2.84666e-05,0.24652,1.2154e-05,50.0011,0.0084985,0.000158238,0.000202989,2.84666e-05,0.24652,1.2154e-05,50.0011,0.0084985,0.000158238,0.000202989,2.84666e-05,0.24652,1.2154e-05,50.0011,0.0084985,0.000158238,0.000202989,2.84666e-05,0.24652,-0.7281,49.9835,0.0153599,0.00556746,0.0134164,-2.35189,0.0593527,0.752724,49.9789,0.0109653,0.00573252,0.0135569,-2.35189,0.0593527,0.00814834,49.4599,-0.512613,0.015685,0.00703868,-0.788924,0.0593527,0.0164496,50.5025,0.538938,0.0164471,0.00628232,-0.788948,0.0593527,0.0242391,49.4597,0.538599,-1.57385,-0.00327304,-0.00302333,0.0593527,0.000370738,50.5028,-0.512222,-1.57384,-0.00270641,-0.00303041,0.0593527,
0.0202,1.94705e-05,49.9861,0.00850334,0.000339865,0.000430797,6.02538e-05,0.24652,1.94705e-05,49.9861,0.00850334,0.000339865,0.000430797,6.02538e-05,0.24652,1.94705e-05,49.9861,0.00850334,0.000339865,0.000430797,6.02538e-05,0.24652,1.94705e-05,49.9861,0.00850334,0.000339865,0.000430797,6.02538e-05,0.24652,1.94705e-05,49.9861,0.00850334,0.000339865,0.000430797,6.02538e-05,0.24652,-0.725956,49.9686,0.0153202,0.00563046,0.0134599,-2.35189,0.0593527,0.750554,49.9639,0.0110205,0.00571855,0.0135545,-2.35189,0.0593527,0.00816147,49.4465,-0.511085,0.0159145,0.00677556,-0.788944,0.0593527,0.0164401,50.4861,0.537425,0.0161859,0.00650604,-0.788932,0.0593527,0.0242148,49.4463,0.537058,-1.57386,-0.00308919,-0.00301076,0.0593527,0.000386633,50.4863,-0.510731,-1.57386,-0.00286458,-0.00300867,0.0593527,
0.0303,2.67871e-05,49.9612,0.00850819,0.0005215,0.0006586,9.20824e-05,0.24652,2.67871e-05,49.9612,0.00850819,0.0005215,0.0006586,9.20824e-05,0.24652,2.67871e-05,49.9612,0.00850819,0.0005215,0.0006586,9.20824e-05,0.24652,2.67871e-05,49.9612,0.00850819,0.0005215,0.0006586,9.20824e-05,0.24652,2.67871e-05,49.9612,0.00850819,0.0005215,0.0006586,9.20824e-05,0.24652,-0.72641,49.9437,0.0153066,0.00569845,0.0135268,-2.35189,0.0593527,0.750998,49.939,0.0110226,0.00551521,0.0133448,-2.35189,0.0593527,0.00815802,49.4212,-0.511406,0.0164014,0.00625829,-0.788938,0.0593527,0.0164361,50.4614,0.537735,0.015632,0.00702226,-0.788944,0.0593527,0.0241924,49.421,0.537377,-1.57388,-0.00275865,-0.00298966,0.0593527,0.000396113,50.4617,-0.511048,-1.57388,-0.00334678,-0.00298939,0.0593527,
0.0404,2.0601e-05,49.9262,0.00850775,0.000678439,0.000858579,0.0001247,0.24652,2.0601e-05,49.9262,0.00850775,0.000678439,0.000858579,0.0001247,0.24652,2.0601e-05,49.9262,0.00850775,0.000678439,0.000858579,0.0001247,0.24652,2.0601e-05,49.9262,0.00850775,0.000678439,0.000858579,0.0001247,0.24652,2.0601e-05,49.9262,0.00850775,0.000678439,0.000858579,0.0001247,0.24652,-0.729374,49.9087,0.0153374,0.00558322,0.0134151,-2.3519,0.0593527,0.753964,49.904,0.0109847,0.00550287,0.0133288,-2.3519,0.0593527,0.00814174,49.3841,-0.513496,0.0161449,0.00647899,-0.788939,0.0593527,0.0164412,50.4285,0.539821,0.0158591,0.00676272,-0.788952,0.0593527,0.024164,49.3839,0.539462,-1.57389,-0.00295682,-0.00297609,0.0593527,0.000458889,50.4288,-0.513121,-1.57385,-0.00318717,-0.00301382,0.0593527,
0.0505,5.38816e-06,49.8812,0.00849332,0.000245032,0.000283312,4.8127e-05,0.24652,5.38816e-06,49.8812,0.00849332,0.000245032,0.000283312,4.8127e-05,0.24652,5.38816e-06,49.8812,0.00849332,0.000245032,0.000283312,4.8127e-05,0.24652,5.38816e-06,49.8812,0.00849332,0.000245032,0.000283312,4.8127e-05,0.24652,5.38816e-06,49.8812,0.00849332,0.000245032,0.000283312,4.8127e-05,0.24652,-0.729998,49.8636,0.0153969,0.00528367,0.0131316,-2.35189,0.0593527,0.75461,49.859,0.0109453,0.00569744,0.0135337,-2.35189,0.0593527,0.00815115,49.3387,-0.513927,0.0152722,0.00742918,-0.788934,0.0593527,0.0164688,50.384,0.540283,0.0168957,0.00581715,-0.788934,0.0593527,0.0242044,49.3384,0.539919,-1.57383,-0.00365186,-0.00304315,0.0593527,0.000423368,50.3842,-0.513568,-1.57384,-0.00238424,-0.00303883,0.0593527,
0.0606,5.88009e-07,49.8263,0.00848349,-0.000420693,-0.000562298,-8.45224e-05,0.24652,5.88009e-07,49.8263,0.00848349,-0.000420693,-0.000562298,-8.45224e-05,0.24652,5.88009e-07,49.8263,0.00848349,-0.000420693,-0.000562298,-8.45224e-05,0.24652,5.88009e-07,49.8263,0.00848349,-0.000420693,-0.000562298,-8.45224e-05,0.24652,5.88009e-07,49.8263,0.00848349,-0.000420693,-0.000562298,-8.45224e-05,0.24652,-0.728253,49.8086,0.0154267,0.00552204,0.0133752,-2.35188,0.0593527,0.752887,49.804,0.0109349,0.00581968,0.01367,-2.35188,0.0593527,0.00814952,49.2849,-0.512712,0.0155179,0.00731846,-0.78893,0.0593527,0.0164674,50.3277,0.539076,0.0167521,0.00609291,-0.788921,0.0593527,0.0243091,49.2846,0.538702,-1.5738,-0.00345234,-0.00308973,0.0593527,0.000319953,50.328,-0.512338,-1.5738,-0.00247591,-0.00309287,0.0593527,
0.0707,-5.70176e-06,49.7613,0.00847334,-0.00108086,-0.00140262,-0.000217397,0.24652,-5.70176e-06,49.7613,0.00847334,-0.00108086,-0.00140262,-0.000217397,0.24652,-5.70176e-06,49.7613,0.00847334,-0.00108086,-0.00140262,-0.000217397,0.24652,-5.70176e-06,49.7613,0.00847334,-0.00108086,-0.00140262,-0.000217397,0.24652,-5.70176e-06,49.7613,0.00847334,-0.00108086,-0.00140262,-0.000217397,0.24652,-0.728761,49.7435,0.0154961,0.00607295,0.0139357,-2.35186,0.0593527,0.753391,49.7391,0.0108825,0.00568731,0.0135525,-2.35187,0.0593527,0.00815213,49.2195,-0.513066,0.0168835,0.00608934,-0.788907,0.0593527,0.0164902,50.2631,0.539443,0.0153747,0.00758765,-0.78892,0.0593527,0.0243855,49.2193,0.539052,-1.57375,-0.00241051,-0.00315298,0.0593527,0.000247688,50.2633,-0.512677,-1.57375,-0.00359456,-0.00315434,0.0593527,
0.0808,3.75844e-06,49.6862,0.00849604,-0.000644989,-0.000832302,-0.000148945,0.24652,3.75844e-06,49.6862,0.00849604,-0.000644989,-0.000832302,-0.000148945,0.24652,3.75844e-06,49.6862,0.00849604,-0.000644989,-0.000832302,-0.000148945,0.24652,3.75844e-06,49.6862,0.00849604,-0.000644989,-0.000832302,-0.000148945,0.24652,3.75844e-06,49.6862,0.00849604,-0.000644989,-0.000832302,-0.000148945,0.24652,-0.730092,49.6686,0.0154518,0.00618689,0.0140411,-2.35186,0.0593527,0.754707,49.6641,0.0108768,0.00581169,0.0136356,-2.35187,0.0593527,0.00814665,49.1436,-0.514018,0.0166212,0.00627494,-0.788905,0.0593527,0.0164794,50.189,0.540359,0.0155361,0.007353,-0.788955,0.0593527,0.0244123,49.1434,0.539997,-1.57384,-0.00248856,-0.0030606,0.0593527,0.000212547,50.1893,-0.51363,-1.57383,-0.0033997,-0.00306596,0.0593527,
0.0909,-1.33265e-06,49.6013,0.00849377,0.000789445,0.0010575,0.000157197,0.24652,-1.33265e-06,49.6013,0.00849377,0.000789445,0.0010575,0.000157197,0.24652,-1.33265e-06,49.6013,0.00849377,0.000789445,0.0010575,0.000157197,0.24652,-1.33265e-06,49.6013,0.00849377,0.000789445,0.0010575,0.000157197,0.24652,-1.33265e-06,49.6013,0.00849377,0.000789445,0.0010575,0.000157197,0.24652,-0.72919,49.5836,0.0153497,0.0053228,0.0131493,-2.3519,0.0593527,0.75383,49.579,0.0109966,0.00595551,0.0137745,-2.35189,0.0593527,0.00815557,49.0592,-0.513368,0.0149045,0.00767463,-0.788955,0.0593527,0.0164533,50.1034,0.539713,0.0171586,0.00543628,-0.788935,0.0593527,0.0241113,49.059,0.53935,-1.57386,-0.00380927,-0.00299077,0.0593527,0.000526765,50.1036,-0.512995,-1.57385,-0.00199159,-0.00300277,0.0593527,
0.101,-1.00396e-05,49.5062,0.00849555,0.00105289,0.00146356,0.000289166,0.24652,-1.00396e-05,49.5062,0.00849555,0.00105289,0.00146356,0.000289166,0.24652,-1.00396e-05,49.5062,0.00849555,0.00105289,0.00146356,0.000289166,0.24652,-1.00396e-05,49.5062,0.00849555,0.00105289,0.00146356,0.000289166,0.24652,-1.00396e-05,49.5062,0.00849555,0.00105289,0.00146356,0.000289166,0.24652,-0.729579,49.4886,0.0153269,0.00473816,0.012578,-2.35192,0.0593527,0.754209,49.484,0.0110243,0.00519533,0.0130477,-2.35192,0.0593527,0.00817158,48.9639,-0.513618,0.0153457,0.00717014,-0.788944,0.0593527,0.0164781,50.0087,0.53996,0.0167827,0.00574271,-0.788928,0.0593527,0.0240017,48.9637,0.539623,-1.57381,-0.00384989,-0.00302071,0.0593527,0.000642582,50.0089,-0.513276,-1.57384,-0.00256301,-0.00300415,0.0593527,
